eval_id,interface,cal_diff,cal_ath,cal_gb_saturation,cal_hbs,rod_46,rod_0,rod_1,rod_49,rod_50,rod_51,rod_12,rod_119,rod_120,rod_121,rod_123,rod_125,rod_126,rod_9,rod_28,rod_54,rod_55,rod_56,rod_62,rod_73,rod_94,rod_42,rod_69,rod_24,rod_30,rod_63,rod_64,rod_65,rod_66,rod_67,rod_68,rod_70,rod_71,rod_72,rod_74,rod_75,rod_76,rod_77,rod_78,rod_79,rod_80,rod_81,rod_82,rod_84,rod_85,rod_86,rod_87,rod_88,rod_89,rod_90,rod_91,rod_92,rod_93,rod_17,rod_95,rod_97,rod_98,rod_99,rod_100,rod_101,rod_102,rod_104,rod_105,rod_106,rod_107,rod_108,rod_109,rod_116,rod_117,rod_124,rod_128,rod_129,rod_130,rod_133,rod_132,rod_136,rod_113,rod_112,rod_114,rod_137,rod_21,rod_138,rod_7,rod_111,rod_122,rod_8,rod_27,rod_29,rod_103,rod_110,rod_33,rod_36,rod_39,rod_40,rod_41,rod_57,rod_35,rod_43,rod_31,rod_44,rod_4,rod_14,rod_20,rod_16,rod_37,rod_19,rod_134,rod_6,rod_135,rod_45,rod_2,rod_34,rod_23,rod_83,rod_13,rod_52,rod_48,rod_118,rod_60,rod_47,rod_131,rod_58,rod_3,rod_15,rod_53,rod_22,rod_115,rod_59,rod_18,rod_5,rod_25,rod_26,rod_10,rod_38,rod_11,rod_61,rod_32,rod_96,rod_127
1,NO_ID,37.89059101,5.271557973999999,1.7908646190000002,0.9366123084,0.01102375,0.01000766,0.00986807,0.01727513,0.01691991,0.01125548,0.01365838,0.01543406,0.01542363,0.01544874,0.01519996,0.014962,0.01469745,0.01808402,0.018554499999999998,0.01526743,0.01513949,0.01478255,0.01789613,0.01847895,0.039749599999999996,0.01505444,0.01520788,0.01418729,0.01173986,0.014962999999999999,0.03133283,0.0534184,0.03419375,0.01934109,0.01907127,0.0264507,0.03854216,0.01251208,0.04174214,0.05512276,0.06924814,0.01874198,0.03170271,0.04352124,0.01822801,0.01775828,0.030997000000000004,0.01516235,0.03559208,0.02934445,0.04149146,0.03342441,0.005910624000000001,0.0151595,0.01112675,0.028094499999999998,0.04858201,0.21099429999999997,0.014302100000000002,0.03331553,0.05864944,0.02713243,0.02845373,0.03057363,0.02930255,0.03872817,0.04086787,0.0394161,0.02802833,0.04126721,0.03055257,0.1381985,0.1971471,0.14376029999999998,0.17379470000000002,0.1004203,0.05207216,0.04929676,0.04300829,0.04013715,0.1358335,0.01268641,0.01560573,0.2566614,0.31851609999999997,0.2749335,0.02814751,0.03606644,0.03463937,0.02828997,0.1350854,0.1585756,0.02270609,0.02182477,0.05946603,0.0540215,0.04232189,0.02394643,0.03962117,0.02785559,0.01764219,0.05935581,0.01187446,0.01767544,0.01164902,0.05712139,0.2543488,0.07506654,0.1087536,0.1094729,0.06284545,0.09468345,0.05424933,0.01722449,0.09792263,0.04809234,0.01492724,0.01121174,0.01768985,0.01863453,0.01757631,0.01776996,0.00826835,0.01754022,0.03834971,0.01077378,0.13229860000000002,0.02933976,0.03511481,0.0161236,0.03536656,0.04052381,0.07191791,0.34294990000000003,0.11926120000000001,0.18476879999999998,0.01492572,0.1226595,0.01540927,0.008415978000000001,0.01191607,0.009295043000000001,0.03758766
2,NO_ID,4.463437515,5.709185783,0.025001614640000003,1.101975992,0.01194826,0.01619492,0.01639617,0.01898291,0.01849113,0.01222894,0.01524874,0.01732071,0.01720957,0.01718534,0.01672535,0.01636685,0.01601595,0.02005491,0.02147981,0.01773263,0.01710227,0.01677006,0.02265717,0.02443964,0.03473055,0.0163279,0.016556,0.02237712,0.0127241,0.02166575,0.02897156,0.05011173,0.03005849,0.02934133,0.02892427,0.03159127,0.03307636,0.03615477,0.03601674,0.05256781,0.07097641,0.026062900000000003,0.02934742,0.03783987,0.02396214,0.0220967,0.03388397,0.02188581,0.031249000000000002,0.02976316,0.03618279,0.02982271,0.006862949,0.02404184,0.01759259,0.02832887,0.04574316,0.34887070000000003,0.01977417,0.03093037,0.05700138,0.02745685,0.0279067,0.02878633,0.02836769,0.03304897,0.03524875,0.03465667,0.02801524,0.03589756,0.02890166,0.4006332,0.5945078,0.4557139,0.5578354999999999,0.3731704,0.3063872,0.23967539999999998,0.23351129999999998,0.1873951,0.1668509,0.01373979,0.01741222,0.6365283,0.36203179999999996,0.6536698000000001,0.08720566,0.24062600000000003,0.2321291,0.06202076,0.1339143,0.18473470000000003,0.02627528,0.02851243,0.0751292,0.06435021,0.05128148,0.03152469,0.04790233,0.02829744,0.02425389,0.12432180000000001,0.01288566,0.01955451,0.09760676,0.2506303,0.27315959999999995,0.20197679999999998,0.11019870000000001,0.2289404,0.22688870000000003,0.2060913,0.2459321,0.01902548,0.4752345,0.05178484,0.0412646,0.01222251,0.01957364,0.02128287,0.01938238,0.0196707,0.009791818,0.01924901,0.2305869,0.01168286,0.1320027,0.1925164,0.24206570000000002,0.05755235,0.036438,0.04174754,0.20225179999999998,0.3872099,0.2585726,0.33365259999999997,0.03975233,0.12171320000000001,0.05624175,0.009943292,0.01291194,0.01455154,0.2667938
3,NO_ID,16.74625891,4.025451953999999,1.879809216,0.8931075745999999,0.008417494000000001,0.007641743,0.007535300000000001,0.013191399999999999,0.01292042,0.008595046,0.01042984,0.01178591,0.01177798,0.01179649,0.01160672,0.01142531,0.01122304,0.01380945,0.01416804,0.01165847,0.01156083,0.01128832,0.01366589,0.01411085,0.05680828,0.01149618,0.01161268,0.01083363,0.008965192,0.01142598,0.046991500000000005,0.06969585,0.05065709,0.01481309,0.01456412,0.04115865,0.05566141,0.009407279000000001,0.05875484,0.07133505,0.08297162,0.014311500000000001,0.04745512,0.06041226,0.01391908,0.01356036,0.04691688,0.01157851,0.05252255,0.04463886,0.05848336,0.04960617,0.0045132409999999994,0.01157587,0.008496531,0.04287375,0.065135,0.19329229999999997,0.01092099,0.0492337,0.07457937,0.04141832,0.04305582,0.04575234,0.04432864,0.05587822,0.05792294,0.05654438,0.0427716,0.05830289,0.04594363,0.1239345,0.1781874,0.1341536,0.15604790000000002,0.09133369,0.04728558,0.04470479,0.03731529,0.03560641,0.11003969999999999,0.00968786,0.01191641,0.2401062,0.30084629999999996,0.2596229,0.0181972,0.024203299999999997,0.02289203,0.01949537,0.1300984,0.1240017,0.03421048,0.02646771,0.07342076,0.06828864,0.05715873,0.03642673,0.054259,0.04179342,0.01347174,0.06151894,0.009067463000000001,0.01349727,0.008895444,0.04702742,0.2326726,0.05552577,0.11298330000000001,0.09208414,0.0562374,0.06879427,0.04921249,0.01315259,0.09010617,0.06330345,0.01139878,0.008561469,0.01350802,0.01422912,0.01342147,0.01356913,0.006314007,0.0133941,0.03185135,0.008227166,0.1279015,0.01977715,0.02366756,0.01179689,0.05021739,0.05589091,0.05356388,0.3260385,0.1052132,0.1635669,0.011398100000000001,0.1212137,0.01143618,0.006426751,0.009099159,0.007097804,0.02668687
4,NO_ID,39.41549659,2.32896793,0.8994043463,1.120105326,0.004870017,0.004421525999999999,0.004359651,0.007631703,0.007475225,0.004972672,0.006033978000000001,0.006818865,0.006814213,0.0068249090000000005,0.006715159,0.0066102109999999995,0.006493484,0.007989732,0.008196881999999999,0.006745121999999999,0.006688657,0.0065309769999999994,0.007906024000000001,0.008210618000000001,0.0104488,0.006651064,0.006718681999999999,0.006268201,0.005186677,0.006691361,0.009655479,0.01559511,0.009772014,0.01023386,0.010020399999999999,0.01091778,0.01001599,0.01258592,0.01031552,0.01697399,0.02646373,0.008512975,0.009678955999999999,0.01077416,0.008081999999999999,0.007845238000000001,0.0121838,0.00675783,0.009893836999999999,0.009727034,0.01059771,0.00973672,0.002611203,0.0074359940000000005,0.005183349,0.009569736,0.01483256,0.2811587,0.006376793,0.00977153,0.01829095,0.009512604000000001,0.00954853,0.009611669,0.00958279,0.009966533,0.01008618,0.01013413,0.009548935,0.01020329,0.009627799999999999,0.2146263,0.2870176,0.21797919999999998,0.27670759999999994,0.19667820000000003,0.09991108,0.08266006,0.0779096,0.06959462,0.17868979999999998,0.0056050580000000004,0.006894172,0.39162870000000005,0.34645940000000003,0.401438,0.06018631,0.05455582,0.0519596,0.04000109,0.1072899,0.2031385,0.009840831999999999,0.009641998,0.01919505,0.01160092,0.01067154,0.009964413,0.0105051,0.009869521,0.00779433,0.06154937,0.005245714,0.007808852,0.007502644,0.12478410000000001,0.2831276,0.12368699999999999,0.07878749,0.16047550000000002,0.09767859,0.13146129999999998,0.08662872,0.0076097790000000005,0.20236529999999997,0.01071537,0.01522594,0.004953102,0.007815289,0.008232815,0.007764959,0.007850615,0.003653055,0.007749449,0.06911326,0.00475989,0.1045213,0.03810432,0.0545599,0.02445568,0.0100876,0.01024915,0.1253868,0.38026309999999997,0.18586229999999998,0.26523979999999997,0.01373682,0.09622464,0.02291942,0.00371833,0.005264735,0.004106669,0.06038111
5,NO_ID,39.57333869,9.795980817,0.8151450059,0.8999557276000001,0.0204855,0.01859697,0.01835627,0.03210302,0.03144291,0.02091695,0.02538151,0.02868162,0.02866196,0.02870695,0.02824607,0.027806400000000002,0.02731351,0.03360538,0.03448042,0.02837153,0.0281334,0.02747053,0.03328932,0.03531712,0.10656900000000001,0.02797613,0.02826111,0.02637252,0.02181632,0.02810114,0.0957738,0.1251552,0.09929607,0.04531551,0.04149188,0.09314404,0.1046778,0.03349483,0.1080065,0.128094,0.1481615,0.03722662,0.09626651,0.1100202,0.03395748,0.03300024,0.1000355,0.02834746,0.10141,0.09413058,0.10822730000000001,0.09831911,0.01098331,0.02963099,0.02132816,0.09191726,0.12113510000000001,0.3115819,0.02670451,0.09830105,0.1319928,0.0904818,0.09203456,0.09459656,0.09326276,0.10460830000000002,0.1066827,0.10576469999999999,0.09180278,0.10740129999999999,0.09481872,0.2316047,0.30245370000000005,0.2354596,0.296093,0.21994879999999997,0.11924549999999999,0.1015179,0.08977189999999999,0.08012978,0.20914259999999998,0.02357558,0.02899962,0.4259983,0.3722447,0.4316735,0.07921742,0.10028630000000001,0.09714935,0.06975739,0.2229616,0.22999009999999998,0.09232774,0.08410462,0.1376443,0.12723230000000002,0.1147607,0.09497163,0.1116615,0.09643832,0.03278434,0.1813392,0.02206625,0.0328471,0.02638272,0.1479905,0.3340514,0.1483531,0.1929247,0.1944596,0.11444469999999998,0.162706,0.1024375,0.032008499999999995,0.2197138,0.1174468,0.03853893,0.02083477,0.03287213,0.03462833,0.03266298,0.03302181,0.01536535,0.03259558,0.07735464,0.02002172,0.2199814,0.08215118,0.09958772,0.05022794,0.1042663,0.1095572,0.1499893,0.4088082,0.2206153,0.2980821,0.03711285,0.2110366,0.0475101,0.01563899,0.02214399,0.01727282,0.1060462
6,NO_ID,36.13219427,9.313453696,0.8403126377,0.8793170718000001,0.01947643,0.01768108,0.01743641,0.03052119,0.02989384,0.01988619,0.02413131,0.02726868,0.02724978,0.02729316,0.02685512,0.02643623,0.02596821,0.03195017,0.03292529,0.02697366,0.02674728,0.02611717,0.03174915,0.03529185,0.1160931,0.026597900000000004,0.02686912,0.02506597,0.02074196,0.02654776,0.1059731,0.1338795,0.1093664,0.05276962,0.04685135,0.1028519,0.114424,0.03033862,0.1176701,0.1366193,0.1554858,0.03824044,0.1064638,0.11951099999999999,0.03382113,0.03137518,0.1094578,0.02686966,0.1112767,0.1041698,0.11768989999999999,0.1084229,0.01044234,0.02783833,0.02010291,0.1022133,0.129931,0.3063145,0.02534745,0.1083253,0.1403269,0.10086410000000001,0.10236139999999999,0.1048567,0.10354200000000001,0.11443060000000001,0.1164247,0.11537060000000002,0.1021122,0.11696789999999999,0.1050476,0.2270811,0.29873059999999996,0.2308814,0.2907281,0.21349570000000004,0.11434970000000001,0.09655348,0.08731163,0.07824921,0.2016805,0.02241411,0.02757107,0.4146902,0.3679372,0.4212019,0.07477646,0.09447328,0.09123863,0.06552891,0.2280431,0.2238844,0.1019992,0.0939758,0.146738,0.1368142,0.1245713,0.10453710000000001,0.1213954,0.106171,0.03116934,0.18651610000000002,0.02097919,0.03122908,0.02421153,0.1441473,0.33722490000000005,0.14360799999999999,0.1980629,0.1871192,0.1106469,0.15447,0.09904072,0.03043206,0.2146696,0.1274557,0.03584124,0.01980832,0.03125276,0.03394063,0.0310543,0.03139536,0.01460828,0.03098956,0.07550368,0.01903557,0.2253923,0.0759711,0.09391313,0.04639435,0.1137528,0.1192743,0.1456439,0.4071259,0.2137306,0.29174,0.03448826,0.21586329999999998,0.0440108,0.01486907,0.02105289,0.01642196,0.1006761
7,NO_ID,5.790546697999999,9.855515533,0.1409047894,0.9387176439,0.02061,0.02009854,0.02006952,0.03229789,0.03163429,0.02104379,0.0255363,0.02885549,0.0288363,0.02888151,0.02841795,0.02797538,0.02747912,0.03381013,0.03471847,0.02855197,0.02830417,0.02763673,0.03422076,0.03661469,0.1068204,0.02814649,0.02843287,0.02854515,0.02194908,0.02986679,0.09551842,0.1239982,0.09931818,0.04627135,0.04286704,0.09306167,0.1048954,0.0383734,0.10838060000000001,0.12650060000000002,0.14356860000000002,0.03900398,0.09621149,0.1103402,0.03540358,0.03369514,0.09969635,0.03027582,0.10147089999999999,0.09416366,0.1084823,0.09829912,0.01105029,0.03197854,0.022497,0.09164469,0.11984080000000001,0.3494409,0.02786816,0.09876139,0.1303074,0.08979749,0.09149365,0.09431639,0.09286881,0.1048776,0.10720060000000001,0.1062386,0.0913473,0.1078612,0.09462031,0.33863119999999997,0.5380511,0.3819547,0.4775601,0.3325327,0.25457270000000004,0.19982149999999999,0.204713,0.1642164,0.1809762,0.02371868,0.0291759,0.6100873,0.37201940000000006,0.6266394000000001,0.0842832,0.244428,0.23453249999999998,0.07118757,0.2018138,0.1990786,0.09670897,0.0900097,0.1453236,0.1347951,0.12192049999999999,0.10149580000000001,0.1185847,0.09917658,0.03363549,0.1887235,0.02220064,0.03304668,0.06683177,0.22737249999999998,0.3079393,0.18674939999999998,0.1762445,0.2289522,0.1982941,0.2033384,0.2160104,0.03220322,0.38466999999999996,0.1225163,0.04611809,0.02096127,0.03307274,0.03487076,0.03286168,0.0332227,0.01545866,0.03279339,0.17922939999999998,0.02014341,0.19986579999999998,0.1902886,0.244827,0.06202023,0.10791989999999999,0.11327190000000001,0.1882666,0.39854140000000005,0.2598297,0.33469899999999997,0.04430413,0.1885447,0.05978572,0.01573437,0.02227846,0.01813997,0.27235329999999996
8,NO_ID,12.81975153,7.357618659,1.340647722,0.8381455306000001,0.01538609,0.01396795,0.01377267,0.02411125,0.023616400000000003,0.01571015,0.01906343,0.02154214,0.02152695,0.02156161,0.02121512,0.02088361,0.02051441,0.02530461,0.0317888,0.02130935,0.02113035,0.02063224,0.02721086,0.03495402,0.1218555,0.02101258,0.02122629,0.01980171,0.01638596,0.02088475,0.11319660000000001,0.1331954,0.11643289999999999,0.05866348,0.05104772,0.107993,0.1208472,0.01734309,0.1236423,0.1347744,0.1461064,0.04170387,0.1136454,0.1250595,0.03003092,0.02646267,0.1130704,0.02116279,0.1180838,0.11107739999999999,0.12333110000000001,0.11556110000000001,0.008249407,0.02115869,0.01552984,0.10953260000000001,0.1292266,0.23995589999999997,0.019962099999999997,0.11527269999999999,0.13761189999999998,0.10831669999999999,0.1097642,0.11215699999999999,0.1108698,0.1210893,0.1229214,0.12174220000000001,0.1094869,0.1232623,0.11230410000000002,0.164627,0.2295161,0.1724317,0.2140839,0.1323031,0.06732681,0.06121876,0.06073842,0.05490028,0.13121660000000002,0.01770698,0.02178118,0.27749429999999997,0.3318634,0.29479440000000007,0.03106304,0.04920544,0.04756686,0.03680262,0.1956538,0.1496541,0.10394310000000001,0.09611373,0.14333629999999997,0.1381453,0.12673389999999998,0.1063191,0.12377329999999999,0.109926,0.02462344,0.1407777,0.01657371,0.02666136,0.01625908,0.08754732,0.293306,0.08637329,0.1728665,0.12288900000000001,0.07273328,0.0945605,0.06910554,0.02404087,0.1370208,0.1314884,0.0208979,0.01564867,0.02469031,0.03977094,0.02552064,0.02480256,0.01154039,0.02527817,0.05167234,0.01503793,0.1935888,0.04076711,0.04874104,0.02400532,0.11788299999999999,0.1237964,0.08613536,0.36231820000000003,0.1369628,0.2109643,0.02086903,0.18197560000000002,0.02262799,0.01174658,0.01663179,0.0129733,0.05257115
9,NO_ID,10.99974072,2.1451885330000002,1.666297674,0.8577522381999999,0.0044856340000000005,0.0040727129999999995,0.004015716,0.007029868000000001,0.0068853790000000005,0.0045801620000000005,0.005558354000000001,0.006280753000000001,0.00627611,0.00628651,0.006185599,0.006088296,0.005980853,0.007359008,0.00754977,0.006213122,0.006160461,0.006015264,0.0072824990000000004,0.00889922,0.08050922,0.006125869,0.0061884190000000006,0.005773474000000001,0.004777374,0.0060885869999999995,0.07137988,0.09241888,0.07479139,0.01756459,0.01286594,0.06586616,0.07945663,0.005013462,0.08237371,0.0940324,0.1046675,0.009967721,0.07183225,0.08387804,0.00771385,0.007226687,0.07128692,0.006170271,0.07651769,0.06915632,0.08207162,0.07385533,0.002405061,0.0061688540000000005,0.0045278129999999995,0.06753880000000001,0.08823238,0.1971067,0.005819635,0.07353798,0.09692077,0.06622764,0.0677687,0.07028516,0.06894109,0.07969595,0.08161894,0.08035531,0.06745739,0.08197918,0.07043631,0.1309781,0.1927976,0.14426760000000002,0.1698377,0.09610264,0.04998293,0.04700903,0.04301356,0.03890067,0.1010346,0.005162753,0.0063502440000000005,0.2473757,0.2966466,0.2672363,0.01459562,0.01545995,0.01427912,0.01282307,0.14638610000000002,0.11364849999999999,0.0592778,0.05095438,0.09791923,0.09238856,0.08102888,0.0617312,0.07836401,0.06654638,0.007179025,0.08507822,0.004831913,0.007192751,0.004740399,0.05178374,0.24081710000000003,0.05268569,0.1294325,0.08828855,0.05747486,0.06226826,0.05349542,0.0070091369999999995,0.09909266,0.08663409,0.006074530999999999,0.004562916,0.007198635,0.008008139000000001,0.0071522159999999994,0.007230928,0.0033648759999999997,0.00713749,0.03581007,0.00438418,0.14449410000000001,0.01082605,0.01539954,0.006476015,0.07434737,0.07960104,0.05148964,0.3234709,0.10277069999999999,0.16547089999999998,0.006074576,0.1370565,0.00622029,0.0034250459999999997,0.004849168,0.0037821770000000003,0.01857696
10,NO_ID,1.131690467,5.614079201,1.332573794,0.8982908625,0.01173987,0.01065808,0.01050903,0.0183977,0.01801949,0.01198714,0.01454604,0.0164374,0.01642518,0.01645246,0.01618752,0.01593474,0.01565239,0.01925926,0.01976033,0.01625932,0.01612249,0.01574289,0.01905895,0.01967991,0.07446169,0.01603301,0.0161962,0.01510923,0.01250316,0.01593515,0.06488150000000001,0.08701913,0.06845988,0.02227402,0.02111183,0.05917276,0.07334914,0.013120099999999999,0.07637642,0.08866717,0.09988526,0.01995959,0.06535434,0.07799467,0.01941234,0.01891204,0.06483705,0.01614767,0.07025729,0.06258228,0.07607999,0.06743903,0.006294681,0.01614463,0.01184949,0.06086763,0.08259916,0.20052910000000002,0.01523112,0.06711453,0.09184387,0.05943851,0.061035900000000004,0.06367432,0.06228815,0.07355449,0.07556184,0.07422782,0.06075566,0.0759304,0.0638787,0.1166229,0.203748,0.1333736,0.17510870000000003,0.09477665,0.05628678,0.05130539,0.05524251,0.04554158,0.07505505,0.0135108,0.01661903,0.2322766,0.26434650000000004,0.2642122,0.01325707,0.03066072,0.02953691,0.0209516,0.1282865,0.07670639,0.05621564,0.04760585,0.09502469,0.08979008,0.07904975,0.05884886,0.07624956,0.06247365,0.01878829,0.08546911,0.01264665,0.01882378,0.01240577,0.06543967,0.1832,0.03995904,0.12368610000000001,0.07418275,0.04906818,0.04113295,0.06267954,0.01834383,0.09569502,0.08335171,0.01589771,0.01194009,0.01883948,0.019844999999999998,0.01871881,0.01892428,0.008805524,0.01867991,0.02688643,0.01147422,0.1271719,0.02703281,0.03055291,0.01639923,0.07065874,0.07615884,0.04114597,0.29631430000000003,0.09885945,0.1640469,0.01589577,0.12591839999999999,0.01591695,0.008962711,0.01269033,0.009898951,0.03433004
