Rodid,i,Bu_m,FGR_m
rod_0,1,28.2,0.0017000000000000001
rod_1,2,27.8,0.0023
rod_2,3,10.8,0.07
rod_3,4,66.5,0.121
rod_4,5,31.2,0.002
rod_5,6,61.4,0.33799999999999997
rod_6,7,41.5,0.091
rod_7,8,29.8,0.01
rod_8,9,49.3,0.025
rod_9,10,49.9,0.006
rod_10,11,39.2,0.013000000000000001
rod_11,12,39.1,0.02
rod_12,13,38.3,0.0027
rod_13,14,51.7,0.0103
rod_14,15,34.4,0.12
rod_15,16,65.8,0.0677
rod_16,17,40.5,0.073
rod_17,18,56.7,0.209
rod_18,19,40.3,0.124
rod_19,20,53.3,0.16899999999999998
rod_20,21,60.1,0.218
rod_21,22,60.3,0.345
rod_22,23,40.0,0.009000000000000001
rod_23,24,39.1,0.017
rod_24,25,37.5,0.002
rod_25,26,54.2,0.132
rod_26,27,54.5,0.23
rod_27,28,66.7,0.162
rod_28,29,51.0,0.0064
rod_29,30,48.3,0.14400000000000002
rod_30,31,36.5,0.0016
rod_31,32,36.9,0.0023
rod_32,33,37.0,0.002
rod_33,34,63.5,0.038
rod_34,35,59.8,0.023
rod_35,36,46.8,0.009000000000000001
rod_36,37,60.5,0.03
rod_37,38,68.1,0.07400000000000001
rod_38,39,68.6,0.055999999999999994
rod_39,40,60.8,0.031
rod_40,41,57.1,0.023
rod_41,42,60.3,0.028999999999999998
rod_42,43,39.1,0.005699999999999999
rod_43,44,54.8,0.026000000000000002
rod_44,45,44.9,0.0058
rod_45,46,44.0,0.0051
rod_46,47,29.8,0.0024
rod_47,48,44.6,0.005600000000000001
rod_48,49,44.5,0.0054
rod_49,50,44.1,0.0054
rod_50,51,43.5,0.0045000000000000005
rod_51,52,30.1,0.0023
rod_52,53,54.1,0.010700000000000001
rod_53,54,68.0,0.0495
rod_54,55,43.4,0.0029
rod_55,56,42.9,0.0042
rod_56,57,42.2,0.0036
rod_57,58,56.9,0.013999999999999999
rod_58,59,29.0,0.0034000000000000002
rod_59,60,58.7,0.02
rod_60,61,22.7,0.002
rod_61,62,23.0,0.0018
rod_62,63,46.0,0.0074
rod_63,64,39.3,0.006500000000000001
rod_64,65,54.6,0.012
rod_65,66,57.6,0.018000000000000002
rod_66,67,55.0,0.012
rod_67,68,49.1,0.013999999999999999
rod_68,69,48.7,0.0063
rod_69,70,39.5,0.006
rod_70,71,54.1,0.013999999999999999
rod_71,72,55.6,0.013000000000000001
rod_72,73,32.6,0.016
rod_73,74,47.3,0.0111
rod_74,75,55.9,0.012
rod_75,76,57.6,0.027000000000000003
rod_76,77,59.5,0.023
rod_77,78,47.8,0.0111
rod_78,79,54.6,0.011000000000000001
rod_79,80,56.3,0.015
rod_80,81,46.7,0.0085
rod_81,82,45.6,0.0064
rod_82,83,54.7,0.013999999999999999
rod_83,84,39.1,0.0029
rod_84,85,39.7,0.0067
rod_85,86,55.2,0.013000000000000001
rod_86,87,54.4,0.011000000000000001
rod_87,88,56.0,0.013000000000000001
rod_88,89,54.9,0.012
rod_89,90,16.6,0.0019
rod_90,91,39.7,0.0158
rod_91,92,30.1,0.006500000000000001
rod_92,93,54.1,0.011000000000000001
rod_93,94,56.9,0.019
rod_94,95,55.7,0.01
rod_95,96,37.8,0.0073
rod_96,97,26.8,0.0022
rod_97,98,54.8,0.017
rod_98,99,58.2,0.024
rod_99,100,53.9,0.013999999999999999
rod_100,101,54.1,0.015
rod_101,102,54.4,0.021
rod_102,103,54.2,0.013999999999999999
rod_103,104,58.1,0.016
rod_104,105,55.6,0.024
rod_105,106,55.8,0.017
rod_106,107,55.6,0.016
rod_107,108,54.1,0.016
rod_108,109,55.8,0.018000000000000002
rod_109,110,54.4,0.02
rod_110,111,58.3,0.016
rod_111,112,69.3,0.04190000000000001
rod_112,113,43.7,0.0022
rod_113,114,53.3,0.132
rod_114,115,43.7,0.004699999999999999
rod_115,116,57.9,0.017
rod_116,117,17.1,0.1
rod_117,118,15.9,0.18
rod_118,119,51.7,0.009399999999999999
rod_119,120,42.9,0.0037
rod_120,121,42.9,0.0034999999999999996
rod_121,122,42.9,0.003
rod_122,123,68.1,0.036699999999999997
rod_123,124,42.3,0.0034000000000000002
rod_124,125,11.1,0.08
rod_125,126,41.7,0.0036
rod_126,127,41.0,0.0037
rod_127,128,70.2,0.0487
rod_128,129,16.8,0.13
rod_129,130,17.0,0.11
rod_130,131,14.6,0.1
rod_131,132,8.6,0.07
rod_132,133,14.3,0.06
rod_133,134,14.7,0.11
rod_134,135,16.2,0.05
rod_135,136,14.9,0.08
rod_136,137,15.2,0.05
rod_137,138,17.6,0.2
rod_138,139,17.0,0.29
